id;Título;Ano;Autores;Nacionalidade do 1º autor;Instituição do 1º autor;Estado da Instituição;Revista;Fator de impacto;freq;Qualis da revista;Palavras chave;Local do estudo (coordenada ou/e subregião);Fitofisionomia (s);Grupo taxonomico;Utilizou fogo experimental;Utilizou histórico de incêndio ;Avaliou um unico evento de incêndio;Apenas citou o fogo;Forma de obtenção dos dados;Principais conclusões;Observações;;;;;;;
14;Millipedes (Diplopoda) of the Brazilian Pantanal;2005;"Golovatch, SI; Hoffman, RL; Adis, J; Marques, ML; Raizer, J; Silva, FHO; Ribeiro, RAK; Silva, JL; Pinheiro, TG";Russo;Russian Academy of Sciences;Russia;Amazoniana;0,31;1;;Millipeds, biodiversity, floodplain, inundation forest, Mato Grosso, Brazil;"19 30S, 57 00W; 19 35S, 56 55W; 17 54S, 56 36W; 16 22S, 56 37W ";Várias;Diplopoda;não;não;não;sim;Coleta ;Os diplopodas não são característicos do Pantanal como na Amazônia devido a falta de florestas, solos arenosos e ocorrência de fogo;;;;;;;;
35;GROWTH DYNAMICS OF Anadenanthera colubrina var. cebil AND Tabebuia impetiginosa FROM PANTANAL MATO-GROSSENSE, BRAZIL;2008;Patrícia Póvoa de Mattos    Rudi Arno Seitz ;Brasileira;EMBRAPA;PR;Ciência Florestal;0,630;1;B1;" dendrochronology; tropical trees; diameter increment; growth rings. ";Fazenda Nhumirim;Cordilheiras;Arvores;não;não;não;sim;coleta de campo; O tempo médio para Anadenanthera colubrina var. cebil e Tabebuia impetiginosa atingirem 40 cm de diâmetro foi estimado em, no mínimo, 55 anos;;;;;;;;
51;Biodiversity of the Pantanal: response to seasonal flooding regime and to environmental degradation;2008;Alho, C. J. R.;Brasileira;UNIDERP;MS;BRAZILIAN JOURNAL OF BIOLOGY;;1;;biodiversidade, conservação, fauna, flora, Pantanal.;Pantanal;-;-;não;não;não;sim;trabalho de opinião;;;;;;;;;
52;Atmospheric surface layer characteristics of turbulence above the Pantanal wetland regarding the similarity theory;2008;"Marques Filho, E. P.; Sa, L. D. A.; Karam, H. A.; Alvala, R. C. S.; Souza, A.; Pereira, M. M. R.";Brasileira;UFRJ;RJ;AGRICULTURAL AND FOREST METEOROLOGY;6.424;1;;"Atmospheric surface layer;Heterogeneous surface;Pantanal wetland;Surface energy budget;Monin–Obukhov similarity theory";19°34?S, 57°01?W;-;-;não;não;não;sim;coleta de campo;Em geral, as relações adimensionais entre variáveis turbulentas e parâmetros de escala concordam bem com os encontrados na literatura. Alguns aspectos sobre o armazenamento de calor na camada de água rasa apresentam informações interessantes sobre seu papel nas trocas de energia superfície-atmosfera;;;;;;;;
34;CHANGES IN BIOMASS AND STRUCTURE AFTER A FIRE IN SPARTINA DENSIFLORA BRONG MARSHES ON THE FLOODPLAIN OF THE PARANA RIVER, ARGENTINA;2009;"Vicari, Ricardo; Fischer, Sylvia; Madanes, Nora; Bonaventura, Stella M.";Argentina;Universidad de Buenos Aires;Argentina;RIVER RESEARCH AND APPLICATIONS;2.780;1;B1;"biomass; fire; salt-marshes; Spartina densiflora";34810’S, 58848’W;Planície aluvial;Spartina densiflora;Não;Não;Sim;não;coleta de campo;Os resultados mostraram uma tendência à estrutura original, porém, a maioria dos as frações de biomassa não atingiram valores semelhantes aos antes do fogo após 2 anos de crescimento pós-fogo, sugerindo que um tempo de recuperação mais longo é esperado.;;;;;;;;
78;Using Remote Sensing Products for Environmental Analysis in South America;2011;Cardozo, F. da S., Shimabukuro, Y. E., Pereira, G., & Silva, F. B.;Brasileira;INPE;SP;Remote Sensing;4.509;1;;"land use; land cover; GLOBCOVER; vegetation continuous field; fire radiative power; biomass burning";América do Sul;-;-;não;não;não;sim;sensoriamento remoto;"The fire quantification based on GLOBCOVER product shows that the highest incidence of fires can be observed in the arc of deforestation, located in the Amazon forest border, with vegetation cover composed mainly of broadleaved evergreen or semi-deciduous forest. A time series analysis of FRP database indicates that biomass burning occurs mainly in areas of broadleaved evergreen or semi-deciduous forest and in Brazilian Cerrado associated with grassland management, agricultural land clearing and with the deforestation of Amazon tropical rainforest. Also, variations in FRP intensity and spread can be  attributed to rainfall anomalies, such as in 2004, when South America had a positive anomaly rainfall. 
";Trabalho realizado em escala continental;;;;;;;
79;Diversity, distribution and conservation status assessment of Paraguayan palms (Arecaceae);2011;Gauto, I., Spichiger, R. E., & Stauffer, F. W.;Paraguaia;Asociacion Guyra Paraguay;Paraguai;Biodiversity and Conservation;3.549;1;;Area of occupancy  Conservation assessment  Extent of occurrence GIS  IUCN;Paraguai;Chaco, pantanal e floresta;Arecaceae;não;não;não;sim;coletas de campo e sensoriamento remoto;Important areas for palm conservation in Paraguay were identified, revealing the importance of the Amambay department. Conservation measures for the threatened species identified are proposed.;;;;;;;;
50;Pasture clearing from invasive woody plants in the Pantanal: a tool for sustainable management or environmental destruction?;2012;"Junk, Wolfgang J.; da Cunha, Catia Nunes";Brasileira;UEA;AM;WETLANDS ECOLOGY AND MANAGEMENT;2.134;1;;"Pantanal;Floodplain;Protection;Cattle grazing;Shrub removal;Traditional pasture management";Pantanal;Cambarazal;arvores;não;não;não;sim;coleta de campo/trabalho de opinião;;Artio de opinião-porem utilizou alguns dadaos;;;;;;;
82;Distribution Patterns of Burned Areas in the Brazilian Biomes: An Analysis Based on Satellite Data for the 2002-2010 Period;2012;"de Araujo, Fernando Moreira; Ferreira, Laerte Guimaraes; Arantes, Arielle Elias";Brasileira;UFG;GO;REMOTE SENSING;5.349;1;;"burned areas; Brazilian biomes; MCD45A1; land cover change";Brasil;-;-;não;sim;não;não;"banco de dados de incêndios; shapefile; data imagens de áreas queimadas";Houve influência do La Niña nos últimos 2 anos, diminuindo a pluviosidade dos quatro biomas, exceção do Pantanal. Aproximadamente 81% das áreas queimadas ocorreram sobre áreas de vegetação remanescente. A concentração conspícua de cicatrizes de fogo, particularmente na transição Amazônia-Cerrado (ou seja, o Arco do Desmatamento) certamente não é uma simples coincidência. Tais padrões e tendências corroboram a necessidade de melhoria da governança territorial, além da implantação de sistemas sistemáticos de alerta e prevenção de incêndios;;;;;;;;
80;SEASONAL AND INTERANUAL VARIABILITY OF THE FRACTAL DIMENTION OF TEMPERATURE AND RELATIVE HUMIDITY SERIES IN THE AMAZONIA AND PANTANAL;2013;"Mello, Geison Jader; Cabral De Paulo, Iramaia Jorge; De Paulo, Sergio Roberto; Rosa Gomes, Raphael De Souza; Machado, Nadja Gomes; Nogueira, Jose De Souza; Biudes, Marcelo Sacardi";Brasileira;IFMT;MT;Interciencia;0,396;1;;Amazônia / Atratores Estranhos / Dimensão de Correlação / Espaço de Fase / Fractais / Pantanal /Queimada Florestal /;Sesc Pantanal;Amazonia e Pantanal;-;não;sim;não;não;coletas de dados de estações meteorológicas;O método se apresentou sensível à sazonalidade e variabilidade interanual, e também detectou mudanças no microclima causadas porqueimada florestal e a sua resposta microclimática. Numa perspectiva futura, esta ferramenta pode vir a contribuir com avanços na compreensão emodelagem desses eventos.;;;;;;;;
81;Leaf decomposition and fine fuels in floodplain forests of the Rio Negro in the Brazilian Amazon;2013;"dos Santos, Aline Ramos; Nelson, Bruce Walker";Brasileira;INPA;AM;JOURNAL OF TROPICAL ECOLOGY;1.394;1;;"Amazonia; black water; Clitoria fairchildiana; forest litter layer; ground fire";Rio Negro, Amazônia;"Floresta de várzea; Floresta de Terra Firme";Clitoria fairchildiana;não;não;não;sim;"coleta em campo de folhas; experimento com submersão e pesagem";;A lenta decomposição de folhas submersas leva a uma alta mortalidade de árvores por incêndio em planícies de inundação de águas negras (1) aumentando a intensidade do fogo devido à alta carga de combustível de serapilheira e (2) tornando as raízes das árvores mais vulneráveis ??à queima porque formam uma tapete semelhante a turfa para absorver nutrientes da cama espessa;;;;;;;
23;Regeneration of riparian forests of the Brazilian Pantanal under flood and fire influence;2014;"de Oliveira, Maiby Teodoro; Damasceno-Junior, Geraldo Alves; Pott, Arnildo; Paranhos Filho, Antonio Conceicao; Suarez, Yzel Rondon; Parolin, Pia";Brasileira;UFMS;MS;FOREST ECOLOGY AND MANAGEMENT;4.384;1;A1;"Pantanal; Burning; Wetland; Wildfire; Resprouting; Inundation";"18°57’54.7”S, 57°39’23.53”W; 18°52’36.99”S, 57°40’3.75”W";Floresta riparia;"Arvores; Lianas";não;sim;não;não;coleta de campo;"Flood and fire can act as filters on the structure of riparian forests; We examined relations between woody regeneration and the interaction fire/flooding; Differences in abundance and species composition were associated to this interaction; Differences in richness were associated only with the time of flooding; Fire and flooding play an important role on this riparian forest regeneration.";;;;;;;;
49;Environmental dynamics of dissolved black carbon in wetlands;2014;"Ding, Yan; Cawley, Kaelin M.; da Cunha, Catia Nunes; Jaffe, Rudolf";EUA;Florida International University;USA;BIOGEOCHEMISTRY;4.812;1;;"Wetland;Dissolved organiccarbon;Dissolved black carbon;Biomassburning;BPCA";Pantanal National Park;vários;-;não;não;não;sim;coleta de campo;Nossos dados revelam que a dinâmica do DBC está fortemente acoplada com a dinâmica do DOC, independentemente da localização, estação ou histórico recente de incêndios. . A presença de quantidades significativas de DBC nesses três ecossistemas impactados pelo fogo sugere que as zonas úmidas subtropicais podem representar um importante transportador oceânico continental de produtos de combustão da queima de biomassa. A discriminação da estrutura molecular DBC (ou seja, aromaticidade) entre amostras costeiras e terrestres, e entre amostras coletadas na estação chuvosa e seca, sugere que a variação espacialmente significativa na força da fonte DBC e/ou grau de degradação também pode influenciar a dinâmica DBC.;;;;;;;;
77;Crab burrows and termite thermal chimneys as refuges for anurans in a Neotropical wetland;2014;"Simioni, Fernanda; Campos, Vitor Azarias; Dorado-Rodrigues, Taina Figueras; Penha, Jerry; Struessmann, Christine";Brasileira;UFMT;MT;SALAMANDRA;1.911;1;;"Trichodactylidae; Isoptera;, Pantanal; subterranean habitats; diurnal shelter; drought; dry season; fire refuge; murundu";"“RPPN SESC Pantanal; SESC Baía de Pedras";-;Anuros;não;não;não;sim;coleta de campo;;citou o fogo como uma das caracterizações do Pantanal;;;;;;;
83;Fire disturbance in Amazonian blackwater floodplain forests;2014;"Flores, Bernardo M.; Piedade, Maria-Teresa F.; Nelson, Bruce W.";Brasileira;INPA;AM;PLANT ECOLOGY & DIVERSITY;2.64;1;;"El Niño; enhanced vegetation index (EVI); fire damage; forest succession; igapó; resilience; tree mortality";Amazonia, Rio Negro;-;-;não;sim;não;não;"Banco de dados; QuickBird images";Os resultados sugerem uma resistência e resiliência muito baixas das florestas de várzea de águas negras à perturbação do fogo associada à seca durante eventos de El Niño.;;;;;;;;
22;Effect of fire on a monodominant floating mat of Cyperus giganteus Vahl in a neotropical wetland;2015;"Rocha, M.; Santos Junior, C. C.; Damasceno-Junior, G. A.; Pott, V. J.; Pott, A.";Brasileira;UFMS;MS;BRAZILIAN JOURNAL OF BIOLOGY;-;1;B3;"Cyperaceae; floating meadow; diversity; Pantanal; plant succession";"19° 18’ 10” S; 57° 36’ 28.2” W";pirizal;herbáceas;não;não;sim;não;coleta de campo;"Our results show that fire does not affect dominance of C. giganteus, as it maintained the same cover as before fire; species richness is not much altered either - 28 before fire and 34 thereafter. Fire changed the floristic composition, due to the annual variation of species and the ability of some plants to colonize gaps and to regrow after fire from underground organs and seeds. The stratification of the vegetation with characteristic species of upper and lower strata was similar after fire.";;;;;;;;
47;Variations in aboveground vegetation structure along a nutrient availability gradient in the Brazilian pantanal;2015;"Vourlitis, George L.; Lobo, Francisco de Almeida; Pinto, Osvaldo Borges, Jr.; Zappia, Anthony; Dalmagro, Higo J.; Zanella de Arruda, Paulo Henrique; Nogueira, Jose de Souza";EUA;California State University;California, EUA;PLANT AND SOIL;4.993;1;;"Cerrado ; Hyperseasonal savanna; Nutrient;availability;Nutrientlimitation;Plant-soil relationships; Tropical wetlands";"16°39’50”S,56°47’50”W;16°29’53”S,56°24’46”W";vários;arvores;não;não;não;sim;coleta de campo;Because the use of fire is prohibited within the Pantanal, forest tree seedlings that are germinating and recruiting into savanna can grow in these nutrient-rich microsites to a size where they become more resistant to infrequent wildfires or fires that are started outside the Pantanal.;;;;;;;;
48;ANÁLISE DO MATERIAL PARTICULADO NO PANTANAL MATO-GROSSENSE;2015;"SANTOS, ANNA CAROLINNA ALBINO; NOGUEIRA, JOSÉ DE SOUZA";Brasileira;UFMT;MT;Revista Brasileira de Meteorologia;-;1;-;"aerossóis; emissões; queimadas; ressuspensão do solo";RPPN SESC 16º39' S, 56º47' W;-;-;não;não;não;sim;coleta de campo;foram estimados três tipos de fontes de aerossóis: emissões biogênicas naturais, suspensão de poeira do solo e queima da biomassa. Os resultados encontrados reforçam a importância do estudo no Pantanal para entender os mecanismos dos processos antrópicos e naturais que são capazes de regular a composição da atmosfera.;;;;;;;;
76;EFFICIENCY OF FIRE RISK INDICES FOR PANTANAL SUL-MATO-GROSSENSE;2015;"Araujo Soriano, Balbina Maria; Daniel, Omar; Santos, Sandra Aparecida";Brasileira;EMBRAPA;MS;CIENCIA FLORESTAL;0,63;1;;"Monte Alegre index; forest fires; hotspots; meteorological variables.";"18°10’S, 55°5’W; 19°25’S, 57°18’W";-;-;não;sim;não;não;banco de dados;A velocidade do vento e a umidade relativa do ar foram as variáveis meteorológicas que apresentaram maior correlação com a ocorrência de focos de calor. Para detecção de qualquer grau de risco de incêndio, a FMA, o G e a FMA+ foram os índices mais eficientes. Para a detecção de graus de risco de incêndio nas classes Muito alto e Alto, o G foi o mais eficiente, seguido da FMA. Considerando a alta probabilidade de acerto na detecção de riscos de incêndio em qualquer grau e também nas classes de Alto risco a mais, a FMA pode ser considerada a mais adequada para estimar o risco de ocorrência de incêndios para a sub-região da Nhecolândia.;;;;;;;;
45;ANALYSIS OF THE CONCENTRATION AND COMPOSITION OF AEROSOLS FROM FIRES IN THE MATO GROSSO WETLAND;2016;"Albino Santos, Anna Carolinna; Finger, Amanda; Nogueira, Jose de Souza; Amorim Curado, Leone Francisco; Palacios, Rafael da Silva; Rodrigues Pereira, Vinicius Marcio";Brasileira;UFMT;MT;Quimica Nova;-;1;;"atmosphere; black carbon; seasonality";"16º39’ S; 56º47’ O";-;-;não;sim;não;não;coleta de campo;;Foram identificadas três principais fontes de emissão de aerossol pela Matriz de Fatoração Positiva (PMF), na moda fina no período seco: emissão biogênica, ressuspensão do solo e queima da biomassa. Observando que no período seco ocorre um aumento na concentração de black carbon e na moda fina o que indica a influência das queimadas caracterizada por essa estação. A fração do material particulado grosso na estação seca se deve a contribuição da ressuspensão de poeira do solo, porém pode ter influência da queima da biomassa também, em que a fração grossa pode ter origem de quebra mecânica e ressuspensão de poeira. Portanto, a região do Pantanal apresentou resultados que estão dentro dos padrões nacional e internacional.;;;;;;;
46;Inundation and Fire Shape the Structure of Riparian Forests in the Pantanal, Brazil;2016;"Arruda, Wellinton de Sa; Oldeland, Jens; Paranhos Filho, Antonio Conceicao; Pott, Arnildo; Cunha, Nicolay L.; Ishii, Iria Hiromi; Damasceno-Junior, Geraldo Alves";Brasileira;UFMS;MS;PLOS one;3.24;1;;-;"18°51'7.26"" S, 57°36'50.20"" W;18°58'27.39"" S, 57°38'8.41"" W";Floresta riparia;arvores;não;sim;não;não;coleta de campo;The interaction of fire and inundation did not appear to affect the basal area, but it did affect the richness, number of individuals, success of some species, and seemed to shape the boundary of these forests as shown by the difference in the positioning of these species along the inundation gradient.;;;;;;;;
74;An expert system model for mapping tropical wetlands and peatlands reveals South America as the largest contributor;2016;"Gumbricht, Thomas; Roman-Cuesta, Rosa Maria; Verchot, Louis; Herold, Martin; Wittmann, Florian; Householder, Ethan; Herold, Nadine; Murdiyarso, Daniel";Indonesia;CIFOR;Indonésia;GLOBAL CHANGE BIOLOGY;13.211;1;;"climate change; land use; peatlands; tropics; wetlands";-;-;-;não;não;não;sim;sensoriamento remoto;;Mapeou áreas umidas no mundo todo;;;;;;;
75;Emergent Complexity, Changing Landscapes, and Spheres of Interaction in Southeastern South America During the Middle and Late Holocene;2016;"Iriarte, Jose; DeBlasis, Paulo; De Souza, Jonas Gregorio; Corteletti, Rafael";Britânica;University of Exeter;Inglaterra;JOURNAL OF ARCHAEOLOGICAL RESEARCH;5.333;1;;"South America;R? ?o de la Plata;Early Formative;Emergentcomplexity;Landscapes;Community patterns;Zea mays";-;-;;não;não;não;sim;Coleta de dados;;estudou várias áreas umidas;;;;;;;
44;ANALYSIS OF THE PASTURE DYNAMICS IN THE PANTANAL CACERES / MT;2017;"Aquino, Helibera Capistrano; dos Santos Galvanin, Edineia Aparecida; Alves da Silva Neves, Sandra Mara; de Lima, Diego";Brasileira;UNEMAT;MT;GEO UERJ;-;1;;"wetlands; bioinvasion; land use";Pantanal de Cáceres;várias;vários;não;não;não;sim;sensoriamento remoto;Viu como o uso e ocupação alterou ao longo do tempo, uma das classes é área queimada.;;;;;;;;
73;Spatiotemporal variability of the optical depth of aerosols in areas of the savannah and of the pantanal in the central region of Brazil;2018;"Palacios, Rafael da Silva; Sallo, Fernando da Silva; Marques, Joao Basso; Albino Santos, Anna Carolinna; Menezes, Jorge Almeida; Biudes, Marcelo Sacardi; Nogueira, Jose de Souza";Brasileira;UFMT;MT;NATIVA;-;1;;"biomass burning; optical properties of aerosols; HYSPLIT";Pantanal de Mato Grosso;-;-;não;não;não;sim;sensoriamento remoto/ banco de dados;A análise temporal evidenciou variações sazonais da AOD 550 nm, justificadas pela ocorrência de inúmeros registros de queima de biomassa em todo o Brasil, contexto no qual se destaca o ano de 2010, cujos valores de AOD 550 nm atingiram os máximos de todo o período analisado. Com relação à variação espacial, os maiores valores de AOD 550 nm foram obtidos sobre uma região sazonalmente alagada, o Pantanal mato-grossense, que, em comparação com a Savana, região conhecida localmente como Cerrado, praticamente não apresenta registros de queimadas na estação seca. Foram encontradas evidências de que a região do Pantanal é fortemente influenciada por movimentações de ar vindas do sudeste e norte doBrasil, justamente regiões com altos índices de queima de biomassa na estação seca.;;;;;;;;
43;Fire can weaken or trigger functional responses of trees to flooding in wetland forest patches;2019;"de Almeida Souza, Allan H.; Batalha, Marco Antonio; Casagrande, Jose Carlos; Rivaben, Rodrigo; Assuncao, Vivian Almeida; Pott, Arnildo; Damasceno-Junior, Geraldo Alves";Brasileira;UFMS;MS;JOURNAL OF VEGETATION SCIENCE;3.389;1;;"Ecological Filters; Environmental Factors; Floodplain; Functional Diversity; Pantanal";19°28'49.26''S, 57°00'57.38''W;;Arvores;não;sim;não;não;coleta de campo;Como o teor de matéria seca das folhas é um proxy da inflamabilidade, a probabilidade de queima diminui após cada evento de incêndio, enquanto os ambientes mais inundados tornam-se menos propensos ao fogo. Em ambientes queimados, as diferenças na alocação de recursos diminuem ao longo do gradiente de inundação, indicando que o comportamento das folhas é quase o mesmo pós-fogo. A espessura relativa da casca aumenta com o aumento da inundação somente após um incêndio, contribuindo para a troca de oxigênio durante as inundações para proteger a casca contra o fogo. A interação entre fogo e enchente faz com que as espécies arbóreas invistam em estruturas de proteção e resistência ao fogo, além de reter nutrientes;;;;;;;;
68;Fire dynamics in Mato Grosso State, Brazil: the relative roles of gross primary productivity;2019;"Rossi, Fernando Saragosa; Santos, Gustavo Andre de Araujo";Brasileira;UNEMAT;MT;BIG EARTH DATA;1.565;1;;"Carbon cycle;remote sensing;Amazon;Cerrado;Pantanal";Pantanal de Mato Grosso;-;Plantas;não;sim;não;não;sensoriamento remoto;s. In some points with the presence of burning the GPP even decreased by 44.20%, 30.04% and 55.78% for Amazonia, Cerrado, and Pantanal, respectively. According to the results presented here, it is concluded that the burnings negatively impact gross primary production in the biomes of the state of Mato Grosso, Brazil and the dynamics of the burns do not keep up with the intensity of drought years. The use of cluster analysis techniques, such as principal component analysis (PCA), is an alternative to bigdata analysis when the objective is to evaluate the presence of forest burning in more than one biome.;o estudo for realizado o mato grosso, nos diferentes biomas.;;;;;;;
72;Long-term monitoring of a hyacinth macaw Anodorhynchus hyacinthinus (Psittacidae) roost in the Pantanal, Brazil;2019;"Scherer-Neto, Pedro; Robaldo Guedes, Neiva Maria; Barbosa Toledo, Maria Cecilia";Brasileira;Natural History Museum Capão da Imbuia;PR;ENDANGERED SPECIES RESEARCH;3.155;1;;"Long-term monitoring; Hyacinth macaw; Refuge habitat; Seasonal fluctuation; Roost site";16° 54’ 16’’ S, 56° 15’ 33’’ W;-;Ave;não;não;não;sim;coleta e campo;For over 50 yr, the São Francisco do Perigara ranch has been protected from forest fires and deforestation, thus helping to maintain resources for hyacinth macaws, such as food and roost sites. These resources are important factors in preserving the macaws in the region.;;;;;;;;
13;Rescue Brazil's burning Pantanal wetlands;2020;"Libonati, Renata; DaCamara, Carlos C.; Peres, Leonardo F.; Sander de Carvalho, Lino A.; Garcia, Leticia C.";Brasileira;UFRJ;RJ;Nature;38.1;1;A1;;Pantanal;-;-;Não;sim;Não;não;Opinião;-;Artigo de opinião, trata-se de um comentário;;;;;;;
20;Post-fire phyllostomid assemblages in forest patches of the Pantanal wetland;2020;"Santos, Carolina F.; Teixeira, Reinaldo C.; Raizer, Josue; Fischer, Erich";Brasileira;UFMS;MS;Mammalia;1.197;1;b2;"bat community; burn gradient; disturbance; diversity; resilience";"18° 59? S; 56° 39? W";Floresta;phyllostomid;não;não;sim;não;coleta de campo;Burned patches presented high abundance of predator bats right after fire, including gleaning insectivorous, carnivorous, and sanguivorous. Three months later, burned forests were empty of predators and dominated by large frugivores that occurred throughout the whole gradient in both periods. The fire appears to create ephemeral opportunity to predator phyllostomids right after its passage, but subsequent vegetation recovery seems to reduce diversity in burned forests.;;;;;;;;
